log_date,trip_name,dest,days_to_depart,status,offers_any,offers_nonstop,min_price_any,min_flights_any,min_price_nonstop,min_flights_nonstop,unpriced,note,log_ts_utc
2026-08-09,CNY-2027-after,SDJ,181,OK,2,2,7739,UO890,7739,UO890,0,,2026-08-08 22:51:03
2026-08-09,CNY-2027-after,CTS,181,OK,9,4,8440,KE2006>KE769,14284,HB880,4,2 offers dropped by whitelist,2026-08-08 22:51:03
2026-08-09,CNY-2027-after,AKJ,181,NO_RESULT,0,0,,,,,0,,2026-08-08 22:51:03
2026-08-09,CNY-2027-after,HKD,181,OK,7,0,9087,NH860>NH553,,,0,2 offers dropped by whitelist,2026-08-08 22:51:03
2026-08-09,XMAS-2026,TYO,133,OK,22,22,4159,UO650,4159,UO650,4,,2026-08-09 03:09:40
2026-08-09,XMAS-2026,SDJ,133,OK,1,1,5249,UO890,5249,UO890,0,,2026-08-09 03:09:40
2026-08-09,XMAS-2026,CTS,133,OK,8,5,8114,HB2886,8114,HB2886,4,2 offers dropped by whitelist,2026-08-09 03:09:40
2026-08-09,XMAS-2026,AKJ,133,NO_RESULT,0,0,,,,,0,,2026-08-09 03:09:40
2026-08-09,XMAS-2026,HKD,133,NO_RESULT,0,0,,,,,0,,2026-08-09 03:09:40
2026-08-09,CNY-2027-before,TYO,174,OK,22,22,3249,UO848,3249,UO848,4,,2026-08-09 03:09:40
2026-08-09,CNY-2027-before,SDJ,174,OK,1,1,3319,UO890,3319,UO890,0,,2026-08-09 03:09:40
2026-08-09,CNY-2027-before,CTS,174,OK,8,4,5204,HB880,5204,HB880,4,1 offers dropped by whitelist,2026-08-09 03:09:40
2026-08-09,CNY-2027-before,AKJ,174,NO_RESULT,0,0,,,,,0,,2026-08-09 03:09:40
2026-08-09,CNY-2027-before,HKD,174,OK,7,0,5287,NH814>NH553,,,0,2 offers dropped by whitelist,2026-08-09 03:09:40
2026-08-09,CNY-2027-after,TYO,181,OK,22,22,4779,UO650,4779,UO650,4,,2026-08-09 03:09:40
2026-08-09,CNY-2027-after,SDJ,181,OK,2,2,7739,UO890,7739,UO890,0,,2026-08-09 03:09:40
2026-08-09,CNY-2027-after,CTS,181,OK,8,4,8440,KE2006>KE769,14284,HB880,4,3 offers dropped by whitelist,2026-08-09 03:09:40
2026-08-09,CNY-2027-after,AKJ,181,NO_RESULT,0,0,,,,,0,,2026-08-09 03:09:40
2026-08-09,CNY-2027-after,HKD,181,OK,7,0,9087,NH860>NH553,,,0,2 offers dropped by whitelist,2026-08-09 03:09:40
2026-08-09,XMAS-2026,TYO,133,OK,22,22,4159,UO650,4159,UO650,4,,2026-08-09 05:26:08
2026-08-09,XMAS-2026,SDJ,133,OK,1,1,5249,UO890,5249,UO890,0,,2026-08-09 05:26:08
2026-08-09,XMAS-2026,CTS,133,OK,8,5,8114,HB2886,8114,HB2886,4,2 offers dropped by whitelist,2026-08-09 05:26:08
2026-08-09,XMAS-2026,AKJ,133,NO_RESULT,0,0,,,,,0,,2026-08-09 05:26:08
2026-08-09,XMAS-2026,HKD,133,NO_RESULT,0,0,,,,,0,,2026-08-09 05:26:08
2026-08-09,CNY-2027-before,TYO,174,OK,22,22,3249,UO848,3249,UO848,4,,2026-08-09 05:26:08
2026-08-09,CNY-2027-before,SDJ,174,OK,1,1,3319,UO890,3319,UO890,0,,2026-08-09 05:26:08
2026-08-09,CNY-2027-before,CTS,174,OK,10,4,5204,HB880,5204,HB880,4,1 offers dropped by whitelist,2026-08-09 05:26:08
2026-08-09,CNY-2027-before,AKJ,174,NO_RESULT,0,0,,,,,0,,2026-08-09 05:26:08
2026-08-09,CNY-2027-before,HKD,174,OK,7,0,5287,NH814>NH553,,,0,2 offers dropped by whitelist,2026-08-09 05:26:08
2026-08-09,CNY-2027-after,TYO,181,OK,22,22,4779,UO650,4779,UO650,4,,2026-08-09 05:26:08
2026-08-09,CNY-2027-after,SDJ,181,OK,1,1,7739,UO890,7739,UO890,0,,2026-08-09 05:26:08
2026-08-09,CNY-2027-after,CTS,181,OK,8,4,8440,KE2006>KE769,14284,HB880,4,3 offers dropped by whitelist,2026-08-09 05:26:08
2026-08-09,CNY-2027-after,AKJ,181,NO_RESULT,0,0,,,,,0,,2026-08-09 05:26:08
2026-08-09,CNY-2027-after,HKD,181,OK,10,0,9087,NH860>NH555,,,0,1 offers dropped by whitelist,2026-08-09 05:26:08
2026-08-10,XMAS-2026,TYO,132,OK,22,22,4159,UO652,4159,UO652,4,,2026-08-09 22:53:48
2026-08-10,XMAS-2026,SDJ,132,OK,1,1,5499,UO890,5499,UO890,0,,2026-08-09 22:53:48
2026-08-10,XMAS-2026,CTS,132,OK,8,5,8114,HB2886,8114,HB2886,4,2 offers dropped by whitelist,2026-08-09 22:53:48
2026-08-10,XMAS-2026,AKJ,132,NO_RESULT,0,0,,,,,0,,2026-08-09 22:53:48
2026-08-10,XMAS-2026,HKD,132,NO_RESULT,0,0,,,,,0,,2026-08-09 22:53:48
2026-08-10,CNY-2027-before,TYO,173,OK,22,22,3249,UO848,3249,UO848,4,,2026-08-09 22:53:48
2026-08-10,CNY-2027-before,SDJ,173,OK,1,1,3319,UO890,3319,UO890,0,,2026-08-09 22:53:48
2026-08-10,CNY-2027-before,CTS,173,OK,9,4,4481,NH860>NH55,5204,HB880,4,2 offers dropped by whitelist,2026-08-09 22:53:48
2026-08-10,CNY-2027-before,AKJ,173,NO_RESULT,0,0,,,,,0,,2026-08-09 22:53:48
2026-08-10,CNY-2027-before,HKD,173,OK,8,0,4487,NH860>NH553,,,0,2 offers dropped by whitelist,2026-08-09 22:53:48
2026-08-10,CNY-2027-after,TYO,180,OK,22,22,4779,UO650,4779,UO650,4,,2026-08-09 22:53:48
2026-08-10,CNY-2027-after,SDJ,180,OK,1,1,7739,UO890,7739,UO890,0,,2026-08-09 22:53:48
2026-08-10,CNY-2027-after,CTS,180,OK,9,4,8440,KE2006>KE769,14284,HB880,4,2 offers dropped by whitelist,2026-08-09 22:53:48
2026-08-10,CNY-2027-after,AKJ,180,NO_RESULT,0,0,,,,,0,,2026-08-09 22:53:48
2026-08-10,CNY-2027-after,HKD,180,OK,10,0,9087,NH860>NH555,,,0,1 offers dropped by whitelist,2026-08-09 22:53:48
2026-08-11,XMAS-2026,TYO,131,OK,22,22,4159,UO652,4159,UO652,4,,2026-08-10 22:59:34
2026-08-11,XMAS-2026,SDJ,131,OK,1,1,5499,UO890,5499,UO890,0,,2026-08-10 22:59:34
2026-08-11,XMAS-2026,CTS,131,OK,8,5,8116,HB2886,8116,HB2886,4,1 offers dropped by whitelist,2026-08-10 22:59:34
2026-08-11,XMAS-2026,AKJ,131,NO_RESULT,0,0,,,,,0,,2026-08-10 22:59:34
2026-08-11,XMAS-2026,HKD,131,NO_RESULT,0,0,,,,,0,,2026-08-10 22:59:34
2026-08-11,CNY-2027-before,TYO,172,OK,22,22,3249,UO848,3249,UO848,4,,2026-08-10 22:59:34
2026-08-11,CNY-2027-before,SDJ,172,OK,1,1,3319,UO890,3319,UO890,0,,2026-08-10 22:59:34
2026-08-11,CNY-2027-before,CTS,172,OK,10,4,5206,HB880,5206,HB880,4,,2026-08-10 22:59:34
